Total errors: 251969

Error types:
TS1005: 133972 occurrences
TS1128: 46361 occurrences
TS1434: 33074 occurrences
TS1109: 22130 occurrences
TS1011: 3148 occurrences
TS1136: 2466 occurrences
TS1002: 2199 occurrences
TS1435: 1230 occurrences
TS1003: 1071 occurrences
TS1359: 1019 occurrences
TS1137: 811 occurrences
TS1127: 505 occurrences
TS1472: 473 occurrences
TS1138: 439 occurrences
TS1068: 347 occurrences
TS1144: 342 occurrences
TS1180: 330 occurrences
TS1442: 323 occurrences
TS1135: 307 occurrences
TS1161: 266 occurrences
TS1351: 216 occurrences
TS1443: 198 occurrences
TS1146: 178 occurrences
TS1110: 122 occurrences
TS1134: 109 occurrences
TS17006: 77 occurrences
TS1433: 62 occurrences
TS1228: 31 occurrences
TS1131: 30 occurrences
TS1181: 30 occurrences
TS1010: 22 occurrences
TS1487: 19 occurrences
TS1130: 15 occurrences
TS2819: 14 occurrences
TS2809: 13 occurrences
TS1160: 6 occurrences
TS1121: 5 occurrences
TS2427: 3 occurrences
TS2457: 3 occurrences
TS1124: 1 occurrences
TS17007: 1 occurrences
TS1390: 1 occurrences
